TGen_Sample_Name	ID	celltype	genotype	phenotype	group	cohort	replicate	treatment	simple_ID	order
COHP_49941	49941_1_4719_C_NIR	LSK	C	WT	A	1	1	NIR	1-WT-NIR-1	1
COHP_50299	50299_1_412_WT_NIR	LSK	WT	WT	A	1	3	NIR	1-WT-NIR-3	3
COHP_50301	50301_1_413_C_NIR	LSK	C	WT	A	1	4	NIR	1-WT-NIR-4	4
COHP_49945	49945_1_4704_CHW_NIR	LSK	CHW	CHW	B	1	1	NIR	1-CHW-NIR-1	5
COHP_49951	49951_1_4697_CHW_NIR	LSK	CHW	CHW	B	1	2	NIR	1-CHW-NIR-2	6
COHP_49953	49953_1_4749_CHW_NIR	LSK	CHW	CHW	B	1	3	NIR	1-CHW-NIR-3	7
COHP_50305	50305_1_4726_CHW_NIR	LSK	CHW	CHW	B	1	4	NIR	1-CHW-NIR-4	8
COHP_49942	49942_1_4719_C_IR	LSK	C	WT	C	1	1	IR	1-WT-IR-1	9
COHP_50300	50300_1_412_WT_IR	LSK	WT	WT	C	1	3	IR	1-WT-IR-3	11
COHP_50302	50302_1_413_C_IR	LSK	C	WT	C	1	4	IR	1-WT-IR-4	12
COHP_49946	49946_1_4704_CHW_IR	LSK	CHW	CHW	D	1	1	IR	1-CHW-IR-1	13
COHP_49952	49952_1_4697_CHW_IR	LSK	CHW	CHW	D	1	2	IR	1-CHW-IR-2	14
COHP_49954	49954_1_4749_CHW_IR	LSK	CHW	CHW	D	1	3	IR	1-CHW-IR-3	15
COHP_50306	50306_1_4726_CHW_IR	LSK	CHW	CHW	D	1	4	IR	1-CHW-IR-4	16
