TGen_Sample_Name,Sample_ID,celltype,genotype,cohort,phenotype,treatment,replicate,group,simple_ID,order
COHP_61358,61358_LSK-MIG-NIR-1,LSK,WT,1,WT,NIR,1,A,1-WT-NIR-1,1
COHP_61359,61359_LSK-MIG-NIR-2,LSK,WT,1,WT,NIR,2,A,1-WT-NIR-2,2
COHP_61360,61360_LSK-MIG-NIR-3,LSK,WT,1,WT,NIR,3,A,1-WT-NIR-3,3
COHP_61361,61361_LSK-MIG-NIR-4,LSK,WT,1,WT,NIR,4,A,1-WT-NIR-4,4
COHP_61362,61362_LSK-HDAC8-NIR-1,LSK,WT,1,OEHDAC8,NIR,1,B,1-OEHDAC8-NIR-1,5
COHP_61363,61363_LSK-HDAC8-NIR-2,LSK,WT,1,OEHDAC8,NIR,2,B,1-OEHDAC8-NIR-2,6
COHP_61364,61364_LSK-HDAC8-NIR-3,LSK,WT,1,OEHDAC8,NIR,3,B,1-OEHDAC8-NIR-3,7
COHP_61365,61365_LSK-HDAC8-NIR-4,LSK,WT,1,OEHDAC8,NIR,4,B,1-OEHDAC8-NIR-4,8
COHP_61366,61366_LSK-MIG-IR-1,LSK,WT,1,WT,IR,1,C,1-WT-IR-1,9
COHP_61367,61367_LSK-MIG-IR-2,LSK,WT,1,WT,IR,2,C,1-WT-IR-2,10
COHP_61368,61368_LSK-MIG-IR-3,LSK,WT,1,WT,IR,3,C,1-WT-IR-3,11
COHP_61369,61369_LSK-MIG-IR-4,LSK,WT,1,WT,IR,4,C,1-WT-IR-4,12
COHP_61370,61370_LSK-HDAC8-IR-1,LSK,WT,1,OEHDAC8,IR,1,D,1-OEHDAC8-IR-1,13
COHP_61371,61371_LSK-HDAC8-IR-2,LSK,WT,1,OEHDAC8,IR,2,D,1-OEHDAC8-IR-2,14
COHP_61372,61372_LSK-HDAC8-IR-3,LSK,WT,1,OEHDAC8,IR,3,D,1-OEHDAC8-IR-3,15
COHP_61373,61373_LSK-HDAC8-IR-4,LSK,WT,1,OEHDAC8,IR,4,D,1-OEHDAC8-IR-4,16
