Sample_ID,celltype,cohort,group2,phenotype,treatment,replicate,group,simple_ID,order
MV4CD531NIR1,MV4_11,1,CD531_NIR,CD531,NIR,1,A,1-CD531-NIR-1,1
MV4CD531NIR2,MV4_11,1,CD531_NIR,CD531,NIR,2,A,1-CD531-NIR-2,2
MV4CD531NIR3,MV4_11,1,CD531_NIR,CD531,NIR,3,A,1-CD531-NIR-3,3
MV4HDAC8NIR1,MV4_11,1,HDAC8_NIR,HDAC8,NIR,1,B,1-HDAC8-NIR-1,4
MV4HDAC8NIR2,MV4_11,1,HDAC8_NIR,HDAC8,NIR,2,B,1-HDAC8-NIR-2,5
MV4HDAC8NIR3,MV4_11,1,HDAC8_NIR,HDAC8,NIR,3,B,1-HDAC8-NIR-3,6
MV4CD531IR1,MV4_11,1,CD531_IR,CD531,IR,1,C,1-CD531-IR-1,7
MV4CD531IR2,MV4_11,1,CD531_IR,CD531,IR,2,C,1-CD531-IR-2,8
MV4CD531IR3,MV4_11,1,CD531_IR,CD531,IR,3,C,1-CD531-IR-3,9
MV4HDAC8IR1,MV4_11,1,HDAC8_IR,HDAC8,IR,1,D,1-HDAC8-IR-1,10
MV4HDAC8IR2,MV4_11,1,HDAC8_IR,HDAC8,IR,2,D,1-HDAC8-IR-2,11
MV4HDAC8IR3,MV4_11,1,HDAC8_IR,HDAC8,IR,3,D,1-HDAC8-IR-3,12
WTKDNIR1,K562,2,KD_WT_NIR,KD_WT,NIR,1,E,2-KD_WT-NIR-1,13
WTKDNIR2,K562,2,KD_WT_NIR,KD_WT,NIR,2,E,2-KD_WT-NIR-2,14
WTKDNIR3,K562,2,KD_WT_NIR,KD_WT,NIR,3,E,2-KD_WT-NIR-3,15
K23RKDNIR1,K562,2,KD_K23R_NIR,KD_K23R,NIR,1,F,2-KD_K23R-NIR-1,16
K23RKDNIR2,K562,2,KD_K23R_NIR,KD_K23R,NIR,2,F,2-KD_K23R-NIR-2,17
K23RKDNIR3,K562,2,KD_K23R_NIR,KD_K23R,NIR,3,F,2-KD_K23R-NIR-3,18
K175RKDNIR1,K562,2,KD_K175R_NIR,KD_K175R,NIR,1,G,2-KD_K175R-NIR-1,19
K175RKDNIR2,K562,2,KD_K175R_NIR,KD_K175R,NIR,2,G,2-KD_K175R-NIR-2,20
K175RKDNIR3,K562,2,KD_K175R_NIR,KD_K175R,NIR,3,G,2-KD_K175R-NIR-3,21
MUTKDNIR1,K562,2,KD_4mut_NIR,KD_4mut,NIR,1,H,2-KD_4mut-NIR-1,22
MUTKDNIR2,K562,2,KD_4mut_NIR,KD_4mut,NIR,2,H,2-KD_4mut-NIR-2,23
MUTKDNIR3,K562,2,KD_4mut_NIR,KD_4mut,NIR,3,H,2-KD_4mut-NIR-3,24
WTKDIR1,K562,2,KD_WT_IR,KD_WT,IR,1,I,2-KD_WT-IR-1,25
WTKDIR2,K562,2,KD_WT_IR,KD_WT,IR,2,I,2-KD_WT-IR-2,26
WTKDIR3,K562,2,KD_WT_IR,KD_WT,IR,3,I,2-KD_WT-IR-3,27
K23RKDIR1,K562,2,KD_K23R_IR,KD_K23R,IR,1,J,2-KD_K23R-IR-1,28
K23RKDIR2,K562,2,KD_K23R_IR,KD_K23R,IR,2,J,2-KD_K23R-IR-2,29
K23RKDIR3,K562,2,KD_K23R_IR,KD_K23R,IR,3,J,2-KD_K23R-IR-3,30
K175RKDIR1,K562,2,KD_K175R_IR,KD_K175R,IR,1,K,2-KD_K175R-IR-1,31
K175RKDIR2,K562,2,KD_K175R_IR,KD_K175R,IR,2,K,2-KD_K175R-IR-2,32
K175RKDIR3,K562,2,KD_K175R_IR,KD_K175R,IR,3,K,2-KD_K175R-IR-3,33
MUTKDIR1,K562,2,KD_4mut_IR,KD_4mut,IR,1,L,2-KD_4mut-IR-1,34
MUTKDIR2,K562,2,KD_4mut_IR,KD_4mut,IR,2,L,2-KD_4mut-IR-2,35
MUTKDIR3,K562,2,KD_4mut_IR,KD_4mut,IR,3,L,2-KD_4mut-IR-3,36
